# Sample logs demonstrating high-severity incidents that trigger notifications
# These logs simulate a critical system outage scenario with multiple ERROR-level events
# Expected behavior: LLMGovernanceAgent should classify as HIGH or CRITICAL risk
# Expected outcome: NotificationAgent should send alerts via configured channels
2025-11-17 10:01:03 ERROR Database connection timeout after 30 seconds
2025-11-17 10:02:15 ERROR Database connection pool exhausted - max connections reached
2025-11-17 10:02:47 WARNING Memory threshold exceeded - 85% utilization
2025-11-17 10:03:22 ERROR Failed to execute query: connection lost to primary database
2025-11-17 10:04:01 ERROR Authentication service unreachable - timeout after 10 seconds
2025-11-17 10:05:12 INFO System startup complete
2025-11-17 10:06:45 ERROR Critical: Payment processing service down - transactions failing
2025-11-17 10:07:33 ERROR Failed to write to disk: /var/log/app.log - disk full
2025-11-17 10:08:19 ERROR API gateway returning 503 - service unavailable
2025-11-17 10:09:15 WARNING CPU usage at 85% - approaching critical threshold
2025-11-17 10:10:02 ERROR Cache cluster connection failed - Redis timeout
2025-11-17 10:11:30 ERROR Message queue overflow - 10000+ messages pending
2025-11-17 10:12:01 INFO Request processed successfully
2025-11-17 10:13:45 WARNING Disk space low on /var partition - 90% full
2025-11-17 10:14:22 ERROR Load balancer health check failed for 3 backend servers
# Summary: 10 ERROR events, 3 WARNING events
# This volume and severity should trigger HIGH or CRITICAL risk classification
# With USE_REAL_OPENAI=true, the LLM will analyze these logs and determine appropriate risk level
# With USE_REAL_OPENAI=false (mock mode), the system uses fallback risk assessment
2025-11-02T16:00:00Z | disk | high | Detected disk issue affecting subsystem. symptom: connection resets
2025-11-04T07:00:00Z | general | medium | general alert: resource exhaustion (severity=MEDIUM)
2025-11-04T08:00:00Z | application | high | Automated alert - application: authentication failures
2025-11-04T09:00:00Z | disk | critical | disk alert: high latency (severity=CRITICAL)
2025-11-04T10:00:00Z | general | high | general alert: connection resets (severity=HIGH)
2025-11-04T11:00:00Z | application | critical | Automated alert - application: failed backups
2025-11-04T12:00:00Z | general | high | general incident reported: permission denied
2025-11-04T13:00:00Z | auth | high | Automated alert - auth: permission denied
2025-11-04T14:00:00Z | disk | high | Detected disk issue affecting subsystem. symptom: timeout errors
2025-11-04T15:00:00Z | security | critical | security alert: permission denied (severity=CRITICAL)
2025-11-04T16:00:00Z | general | medium | general incident reported: authentication failures
2025-11-04T17:00:00Z | disk | medium | disk alert: timeout errors (severity=MEDIUM)
2025-11-04T18:00:00Z | application | medium | Automated alert - application: query timeouts
2025-11-04T19:00:00Z | general | medium | Automated alert - general: timeout errors
2025-11-04T20:00:00Z | security | high | security alert: query timeouts (severity=HIGH)
2025-11-04T21:00:00Z | network | low | Automated alert - network: permission denied
2025-11-04T22:00:00Z | general | critical | Detected general issue affecting subsystem. symptom: permission denied
2025-11-04T23:00:00Z | general | high | general alert: authentication failures (severity=HIGH)
2025-11-05T00:00:00Z | auth | critical | auth alert: resource exhaustion (severity=CRITICAL)
2025-11-05T01:00:00Z | disk | medium | Automated alert - disk: resource exhaustion
2025-11-05T02:00:00Z | auth | high | auth alert: query timeouts (severity=HIGH)
2025-11-05T03:00:00Z | general | high | Automated alert - general: high latency
2025-11-05T04:00:00Z | application | low | application incident reported: high latency
2025-11-05T05:00:00Z | application | high | Detected application issue affecting subsystem. symptom: authentication failures
2025-11-05T06:00:00Z | database | critical | database alert: connection resets (severity=CRITICAL)
2025-11-05T07:00:00Z | auth | medium | Detected auth issue affecting subsystem. symptom: timeout errors
2025-11-05T08:00:00Z | network | critical | network incident reported: high latency
2025-11-05T09:00:00Z | disk | critical | disk alert: permission denied (severity=CRITICAL)
2025-11-05T10:00:00Z | database | low | Automated alert - database: high latency
2025-11-05T11:00:00Z | database | high | Automated alert - database: query timeouts
2025-11-05T12:00:00Z | network | low | network incident reported: failed backups
2025-11-05T13:00:00Z | auth | low | Detected auth issue affecting subsystem. symptom: permission denied
2025-11-05T14:00:00Z | security | medium | security alert: high latency (severity=MEDIUM)
2025-11-05T15:00:00Z | application | critical | application incident reported: query timeouts
2025-11-05T16:00:00Z | network | medium | Detected network issue affecting subsystem. symptom: query timeouts
2025-11-05T17:00:00Z | disk | medium | disk incident reported: high latency
2025-11-05T18:00:00Z | disk | low | Detected disk issue affecting subsystem. symptom: permission denied
2025-11-05T19:00:00Z | general | medium | Automated alert - general: connection resets
2025-11-05T20:00:00Z | auth | high | auth alert: connection resets (severity=HIGH)
2025-11-05T21:00:00Z | application | critical | Automated alert - application: permission denied
2025-11-05T22:00:00Z | application | high | application alert: failed backups (severity=HIGH)
2025-11-05T23:00:00Z | auth | low | auth alert: authentication failures (severity=LOW)
2025-11-06T00:00:00Z | security | high | Detected security issue affecting subsystem. symptom: high latency
2025-11-06T01:00:00Z | application | critical | application alert: connection resets (severity=CRITICAL)
2025-11-06T02:00:00Z | network | low | Detected network issue affecting subsystem. symptom: timeout errors
2025-11-06T03:00:00Z | disk | high | disk incident reported: permission denied
2025-11-06T04:00:00Z | application | high | application incident reported: high latency
2025-11-06T05:00:00Z | network | high | Detected network issue affecting subsystem. symptom: authentication failures
2025-11-06T06:00:00Z | network | critical | Automated alert - network: failed backups
2025-11-06T07:00:00Z | general | high | general incident reported: resource exhaustion
2025-11-06T08:00:00Z | application | high | application alert: query timeouts (severity=HIGH)
2025-11-06T09:00:00Z | general | high | general alert: resource exhaustion (severity=HIGH)
2025-11-06T10:00:00Z | application | medium | application alert: high latency (severity=MEDIUM)
2025-11-06T11:00:00Z | general | high | Automated alert - general: failed backups
2025-11-06T12:00:00Z | security | critical | Automated alert - security: permission denied
2025-11-06T13:00:00Z | disk | low | Automated alert - disk: failed backups
2025-11-06T14:00:00Z | security | critical | security alert: resource exhaustion (severity=CRITICAL)
2025-11-06T15:00:00Z | database | critical | Detected database issue affecting subsystem. symptom: permission denied
2025-11-06T16:00:00Z | disk | medium | disk incident reported: failed backups
2025-11-06T17:00:00Z | database | high | Automated alert - database: resource exhaustion
2025-11-06T18:00:00Z | auth | medium | Automated alert - auth: permission denied
2025-11-06T19:00:00Z | auth | high | Automated alert - auth: resource exhaustion
2025-11-06T20:00:00Z | general | high | Automated alert - general: permission denied
2025-11-06T21:00:00Z | auth | high | auth alert: connection resets (severity=HIGH)
2025-11-06T22:00:00Z | general | high | Automated alert - general: resource exhaustion
2025-11-06T23:00:00Z | auth | low | auth alert: high latency (severity=LOW)
2025-11-07T00:00:00Z | database | medium | database alert: timeout errors (severity=MEDIUM)
2025-11-07T01:00:00Z | general | medium | Detected general issue affecting subsystem. symptom: connection resets
2025-11-07T02:00:00Z | application | high | application incident reported: failed backups
2025-11-07T03:00:00Z | application | medium | application alert: timeout errors (severity=MEDIUM)
2025-11-07T04:00:00Z | disk | low | disk alert: failed backups (severity=LOW)
2025-11-07T05:00:00Z | database | critical | database alert: query timeouts (severity=CRITICAL)
2025-11-07T06:00:00Z | disk | high | Detected disk issue affecting subsystem. symptom: authentication failures
2025-11-07T07:00:00Z | general | medium | general alert: query timeouts (severity=MEDIUM)
2025-11-07T08:00:00Z | general | critical | general alert: failed backups (severity=CRITICAL)
2025-11-07T09:00:00Z | general | critical | general alert: permission denied (severity=CRITICAL)
2025-11-07T10:00:00Z | network | high | Detected network issue affecting subsystem. symptom: permission denied
2025-11-07T11:00:00Z | auth | medium | Automated alert - auth: high latency
2025-11-07T12:00:00Z | general | low | Detected general issue affecting subsystem. symptom: timeout errors
2025-11-07T13:00:00Z | application | high | Detected application issue affecting subsystem. symptom: permission denied
2025-11-07T14:00:00Z | general | critical | Automated alert - general: timeout errors
2025-11-07T15:00:00Z | database | high | Automated alert - database: query timeouts
2025-11-07T16:00:00Z | database | high | database incident reported: query timeouts
2025-11-07T17:00:00Z | network | high | Automated alert - network: high latency
2025-11-07T18:00:00Z | application | high | application incident reported: permission denied
2025-11-07T19:00:00Z | network | high | Automated alert - network: high latency
2025-11-07T20:00:00Z | database | critical | Automated alert - database: high latency
2025-11-07T21:00:00Z | disk | high | disk incident reported: query timeouts
2025-11-07T22:00:00Z | auth | low | auth incident reported: permission denied
2025-11-07T23:00:00Z | network | critical | Detected network issue affecting subsystem. symptom: timeout errors
2025-11-08T00:00:00Z | general | high | Automated alert - general: connection resets
2025-11-08T01:00:00Z | network | low | network incident reported: connection resets
