# Sample logs demonstrating high-severity incidents that trigger notifications
# These logs simulate a critical system outage scenario with multiple ERROR-level events
# Expected behavior: LLMGovernanceAgent should classify as HIGH or CRITICAL risk
# Expected outcome: NotificationAgent should send alerts via configured channels
2025-11-17 10:01:03 ERROR Database connection timeout after 30 seconds
2025-11-17 10:02:15 ERROR Database connection pool exhausted - max connections reached
2025-11-17 10:02:47 WARNING Memory threshold exceeded - 85% utilization
2025-11-17 10:03:22 ERROR Failed to execute query: connection lost to primary database
2025-11-17 10:04:01 ERROR Authentication service unreachable - timeout after 10 seconds
2025-11-17 10:05:12 INFO System startup complete
2025-11-17 10:06:45 ERROR Critical: Payment processing service down - transactions failing
2025-11-17 10:07:33 ERROR Failed to write to disk: /var/log/app.log - disk full
2025-11-17 10:08:19 ERROR API gateway returning 503 - service unavailable
2025-11-17 10:09:15 WARNING CPU usage at 85% - approaching critical threshold
2025-11-17 10:10:02 ERROR Cache cluster connection failed - Redis timeout
2025-11-17 10:11:30 ERROR Message queue overflow - 10000+ messages pending
2025-11-17 10:12:01 INFO Request processed successfully
2025-11-17 10:13:45 WARNING Disk space low on /var partition - 90% full
2025-11-17 10:14:22 ERROR Load balancer health check failed for 3 backend servers
# Summary: 10 ERROR events, 3 WARNING events
# This volume and severity should trigger HIGH or CRITICAL risk classification
# With USE_REAL_OPENAI=true, the LLM will analyze these logs and determine appropriate risk level
# With USE_REAL_OPENAI=false (mock mode), the system uses fallback risk assessment
2025-11-01T10:00:00Z | disk | high | Automated alert - disk: authentication failures
2025-11-02T07:00:00Z | network | high | network alert: failed backups (severity=HIGH)
2025-11-02T08:00:00Z | disk | high | Automated alert - disk: resource exhaustion
2025-11-02T09:00:00Z | database | high | database alert: connection resets (severity=HIGH)
2025-11-02T10:00:00Z | database | critical | database alert: high latency (severity=CRITICAL)
2025-11-02T11:00:00Z | network | high | network alert: resource exhaustion (severity=HIGH)
2025-11-02T12:00:00Z | database | high | Automated alert - database: failed backups
2025-11-02T13:00:00Z | general | medium | Automated alert - general: permission denied
2025-11-02T14:00:00Z | network | high | Automated alert - network: timeout errors
2025-11-02T15:00:00Z | general | critical | general incident reported: permission denied
2025-11-02T16:00:00Z | network | critical | network alert: high latency (severity=CRITICAL)
2025-11-02T17:00:00Z | auth | high | auth incident reported: permission denied
2025-11-02T18:00:00Z | general | critical | general alert: authentication failures (severity=CRITICAL)
2025-11-02T19:00:00Z | general | critical | Detected general issue affecting subsystem. symptom: connection resets
2025-11-02T20:00:00Z | application | medium | application alert: query timeouts (severity=MEDIUM)
2025-11-02T21:00:00Z | database | high | database alert: authentication failures (severity=HIGH)
2025-11-02T22:00:00Z | security | critical | Detected security issue affecting subsystem. symptom: permission denied
2025-11-02T23:00:00Z | security | high | Automated alert - security: high latency
2025-11-03T00:00:00Z | auth | medium | auth incident reported: timeout errors
2025-11-03T01:00:00Z | general | critical | general alert: authentication failures (severity=CRITICAL)
2025-11-03T02:00:00Z | network | critical | Automated alert - network: query timeouts
2025-11-03T03:00:00Z | security | high | Detected security issue affecting subsystem. symptom: query timeouts
2025-11-03T04:00:00Z | general | high | Automated alert - general: timeout errors
2025-11-03T05:00:00Z | database | high | Detected database issue affecting subsystem. symptom: permission denied
2025-11-03T06:00:00Z | general | medium | general alert: permission denied (severity=MEDIUM)
2025-11-03T07:00:00Z | disk | high | Automated alert - disk: high latency
2025-11-03T08:00:00Z | general | medium | general alert: connection resets (severity=MEDIUM)
2025-11-03T09:00:00Z | auth | high | Detected auth issue affecting subsystem. symptom: query timeouts
2025-11-03T10:00:00Z | application | high | application alert: high latency (severity=HIGH)
2025-11-03T11:00:00Z | network | critical | network incident reported: resource exhaustion
2025-11-03T12:00:00Z | database | low | Automated alert - database: high latency
2025-11-03T13:00:00Z | database | high | Automated alert - database: resource exhaustion
2025-11-03T14:00:00Z | security | critical | Detected security issue affecting subsystem. symptom: high latency
2025-11-03T15:00:00Z | auth | critical | auth alert: connection resets (severity=CRITICAL)
2025-11-03T16:00:00Z | network | high | network incident reported: authentication failures
2025-11-03T17:00:00Z | application | medium | Detected application issue affecting subsystem. symptom: high latency
2025-11-03T18:00:00Z | general | high | Automated alert - general: failed backups
2025-11-03T19:00:00Z | auth | high | auth alert: query timeouts (severity=HIGH)
2025-11-03T20:00:00Z | network | critical | network incident reported: permission denied
2025-11-03T21:00:00Z | network | medium | Automated alert - network: timeout errors
2025-11-03T22:00:00Z | disk | high | Automated alert - disk: connection resets
2025-11-03T23:00:00Z | application | critical | application alert: query timeouts (severity=CRITICAL)
2025-11-04T00:00:00Z | security | low | Automated alert - security: authentication failures
2025-11-04T01:00:00Z | network | high | network incident reported: query timeouts
2025-11-04T02:00:00Z | disk | high | Automated alert - disk: authentication failures
2025-11-04T03:00:00Z | application | critical | Automated alert - application: permission denied
2025-11-04T04:00:00Z | disk | critical | disk alert: resource exhaustion (severity=CRITICAL)
2025-11-04T05:00:00Z | disk | high | disk incident reported: resource exhaustion
2025-11-04T06:00:00Z | disk | high | Detected disk issue affecting subsystem. symptom: authentication failures
2025-11-04T07:00:00Z | application | high | Detected application issue affecting subsystem. symptom: connection resets
